PARENT,PARENT SCOPE,CODE,NAME,NAME_EN,NAME_RU,NAME_AR,BUDGET,ACTUAL
36,6131|613|61|6,1.613136.463,טלפונים,,,,,2796
37,6131|613|61|6,1.613137.464,דאר,,,,,535
35,6131|613|61|6,1.613135.510,נסיעות  ואש ל,,,,,
38,6131|613|61|6,1.613138.521,הדרכה וכנסים,,,,,9838
39,6131|613|61|6,1.613139.522,גיבוש יחידתי,,,,,1070
31,6131|613|61|6,1.613131.531,אחזקת רכב,,,,,3762
33,6131|613|61|6,1.613133.533,שכירת רכב,,,,,52239
34,6131|613|61|6,1.613134.534,דלק ושמן,,,,,31990
33,6131|613|61|6,1.613133.541,אחזקת מכשירי קשר,,,,,10556
38,6131|613|61|6,1.613138.610,כבודים,,,,,9380
32,6131|613|61|6,1.613132.670,סעיף שאינו חוזר,,,,,40840
39,6131|613|61|6,1.613139.782,הוצאות שונות,,,,,115688
31,6131|613|61|6,1.613131.783,פעילות בנושא בטיחות,,,,,130961
32,6131|613|61|6,1.613132.784,אקלים ארגוני,,,,,875210
39,6131|613|61|6,1.613139.790,עתודת סמנכ ל,,,,,0
31,6131|613|61|6,1.613131.831,השתתפות לבית הדין הארצי למשמעת,,,,,107993
35,6131|613|61|6,1.613135.932,ציוד ורהוט משרדי,,,,,7924
47,6131|613|61|6,1.613147.110,משכורת כוללת,,,,,1173220
44,6131|613|61|6,1.613144.124,החזר הוצאות,,,,,53920
46,6131|613|61|6,1.613146.126,הבראה,,,,,43355
47,6131|613|61|6,1.613147.127,השתתפות באחזקת רכב 0 9,,,,,177940
42,6131|613|61|6,1.613142.130,תשלומים מיוחדים,,,,,151558
44,6131|613|61|6,1.613144.181,מיסים וביטוח לאומי,,,,,207648
45,6131|613|61|6,1.613145.182,קופות גמל והשתלמות,,,,,126372
44,6131|613|61|6,1.613144.310,שעות נוספות רשומות,,,,,36456
45,6131|613|61|6,1.613145.433,ביטוח,,,,,19400
46,6131|613|61|6,1.613146.434,תקוני מבנים  מתקנים ואינונטר,,,,,4987
42,6131|613|61|6,1.613142.439,אחזקת בניני העיריה0השתתפות,,,,,93962
49,6131|613|61|6,1.613149.461,צרכי משרד,,,,,11362
41,6131|613|61|6,1.613141.462,ספרים ועתונים,,,,,4581
42,6131|613|61|6,1.613142.463,טלפונים,,,,,1584
43,6131|613|61|6,1.613143.464,דאר,,,,,3312
44,6131|613|61|6,1.613144.521,הדרכה וכנסים,,,,,128359
45,6131|613|61|6,1.613145.522,גיבוש יחידתי,,,,,4993
46,6131|613|61|6,1.613146.531,אחזקת רכב,,,,,2173
48,6131|613|61|6,1.613148.533,שכירת רכב,,,,,52239
49,6131|613|61|6,1.613149.534,דלק ושמן,,,,,20196
48,6131|613|61|6,1.613148.541,אחזקת מכשירי קשר,,,,,10699
44,6131|613|61|6,1.613144.610,כבודים,,,,,9123
45,6131|613|61|6,1.613145.693,מחשוב יחידתי,,,,,4408
44,6131|613|61|6,1.613144.757,אמנת שירות העסקת שוטרים,,,,,0
44,6131|613|61|6,1.613144.781,הוצאות שונות,,,,,16710
45,6131|613|61|6,1.613145.782,שיתוף הציבור,,,,,104039
46,6131|613|61|6,1.613146.783,ועדת בטיחות חטיבתית,,,,,10440
48,6131|613|61|6,1.613148.785,שיווק והפצת מידע,,,,,0
49,6131|613|61|6,1.613149.786,פרס צוות חסכני מצטיין,,,,,0
45,6131|613|61|6,1.613145.790,עתודת חטיבת התפעול,,,,,0
43,6131|613|61|6,1.613143.861,פרוייקט מציל ה0 יובל חינוך,,,,,360000
41,6131|613|61|6,1.613141.932,ציוד ורהוט משרדי,,,,,4541
68,6131|613|61|6,1.613168.110,משכורת כוללת,,,,,2087786
65,6131|613|61|6,1.613165.124,החזר הוצאות,,,,,115691
67,6131|613|61|6,1.613167.126,הבראה,,,,,79790
68,6131|613|61|6,1.613168.127,השתתפות באחזקת רכב 0 16,,,,,377835
63,6131|613|61|6,1.613163.130,תשלומים מיוחדים,,,,,292542
65,6131|613|61|6,1.613165.181,מיסים וביטוח לאומי,,,,,366726
66,6131|613|61|6,1.613166.182,קופות גמל והשתלמות,,,,,267417
65,6131|613|61|6,1.613165.310,שעות נוספות רשומות,,,,,71885
66,6131|613|61|6,1.613166.433,ביטוח,,,,,40740
67,6131|613|61|6,1.613167.434,תקוני מבנים  מתקנים ואינונטר,,,,,6861
63,6131|613|61|6,1.613163.439,אחזקת בניני העיריה0השתתפות,,,,,173930
61,6131|613|61|6,1.613161.461,צרכי משרד,,,,,26285
62,6131|613|61|6,1.613162.462,ספרים ועתונים,,,,,3306
63,6131|613|61|6,1.613163.463,טלפונים,,,,,0
64,6131|613|61|6,1.613164.464,דאר,,,,,14474
62,6131|613|61|6,1.613162.510,נסיעות  ואש ל,,,,,0
65,6131|613|61|6,1.613165.521,הדרכה וכנסים,,,,,31667
66,6131|613|61|6,1.613166.522,גיבוש יחידתי,,,,,2000
67,6131|613|61|6,1.613167.531,אחזקת רכב,,,,,274
69,6131|613|61|6,1.613169.533,שכירת רכב ורכב עירוני,,,,,37875
61,6131|613|61|6,1.613161.534,דלק ושמן,,,,,21140
69,6131|613|61|6,1.613169.541,אחזקת מכשירי קשר,,,,,13949
65,6131|613|61|6,1.613165.610,כבודים,,,,,13150
64,6131|613|61|6,1.613164.691,מערכות מידע ומחשוב,,,,,385179
66,6131|613|61|6,1.613166.693,מחשוב יחידתי,,,,,21930
68,6131|613|61|6,1.613168.751,העסקת גו ח,,,,,267264
65,6131|613|61|6,1.613165.781,פעולות לשיפור השירות,,,,,1614090
66,6131|613|61|6,1.613166.782,מרכז השירות העירוני,,,,,99920
67,6131|613|61|6,1.613167.783,הוצאות שונות,,,,,3006
68,6131|613|61|6,1.613168.784,דו ח ממונה תלונות הציבור למועצה,,,,,0
69,6131|613|61|6,1.613169.785,פיתוח ניהול השירות,,,,,47211
63,6131|613|61|6,1.613163.788,תגמול עובדים מצטיינים בשירות,,,,,29686
62,6131|613|61|6,1.613162.932,ציוד ורהוט משרדי,,,,,9738
62,6131|613|61|6,1.613162.981,רכישות שונות,,,,,48348
74,6131|613|61|6,1.613174.110,משכורת כוללת,,,,,273009
71,6131|613|61|6,1.613171.124,החזר הוצאות,,,,,12399
73,6131|613|61|6,1.613173.126,הבראה,,,,,9875
74,6131|613|61|6,1.613174.127,השתתפות באחזקת רכב0 2,,,,,59120
78,6131|613|61|6,1.613178.130,תשלומים מיוחדים,,,,,28403
75,6131|613|61|6,1.613175.411,שכר דירה,,,,,
73,6131|613|61|6,1.613173.434,תקוני מבנים  מתקנים ואינונטר,,,,,0
74,6131|613|61|6,1.613174.435,חשמל ואנרגיה,,,,,
75,6131|613|61|6,1.613175.436,נקיון,,,,,
76,6131|613|61|6,1.613176.461,צרכי משרד,,,,,2582
77,6131|613|61|6,1.613177.462,ספרים ועתונים,,,,,925
78,6131|613|61|6,1.613178.463,טלפונים,,,,,0
79,6131|613|61|6,1.613179.464,דאר,,,,,453
77,6131|613|61|6,1.613177.510,נסיעות ואשל,,,,,0
71,6131|613|61|6,1.613171.521,הדרכה וכנסים,,,,,300
72,6131|613|61|6,1.613172.522,גיבוש יחידתי,,,,,240
75,6131|613|61|6,1.613175.541,אחזקת מכשירי קשר,,,,,
71,6131|613|61|6,1.613171.610,כיבודים,,,,,3800
74,6131|613|61|6,1.613174.670,סעיף שאינו חוזר,,,,,33986
79,6131|613|61|6,1.613179.691,מערכות מידע ומחשוב,,,,,9996
72,6131|613|61|6,1.613172.693,מחשוב יחידתי,,,,,1659
74,6131|613|61|6,1.613174.751,ייעוץ0העסקת גו ח,,,,,351073
76,6131|613|61|6,1.613176.753,עבודות ע י גו ח 0 שליחויות,,,,,9904
71,6131|613|61|6,1.613171.781,ביטוח הרכוש והתכולה,,,,,3777082
72,6131|613|61|6,1.613172.782,חבות מעבידים,,,,,752695
77,6131|613|61|6,1.613177.932,ציוד ורהוט משרדי,,,,,0
89,6131|613|61|6,1.613189.110,משכורת כוללת,,,,,455345
86,6131|613|61|6,1.613186.124,החזר הוצאות,,,,,26937
88,6131|613|61|6,1.613188.126,הבראה,,,,,24227
89,6131|613|61|6,1.613189.127,השתתפות באחזקת רכב 0 8,,,,,66226
84,6131|613|61|6,1.613184.130,תשלומים מיוחדים,,,,,91151
86,6131|613|61|6,1.613186.181,מיסים וביטוח לאומי,,,,,81791
87,6131|613|61|6,1.613187.182,קופות גמל והשתלמות,,,,,61008
86,6131|613|61|6,1.613186.310,שעות נוספות רשומות,,,,,4067
87,6131|613|61|6,1.613187.433,ביטוח,,,,,9700
82,6131|613|61|6,1.613182.461,צרכי משרד,,,,,8229
84,6131|613|61|6,1.613184.463,טלפונים,,,,,2039
85,6131|613|61|6,1.613185.464,דאר,,,,,345
83,6131|613|61|6,1.613183.510,נסיעות  ואש ל,,,,,1660
87,6131|613|61|6,1.613187.522,גיבוש יחידתי,,,,,781
81,6131|613|61|6,1.613181.541,אחזקת מכשירי קשר,,,,,206
86,6131|613|61|6,1.613186.610,כיבודים,,,,,616
89,6131|613|61|6,1.613189.670,סעיף שאינו חוזר,,,,,6698
89,6131|613|61|6,1.613189.751,שליחויות  איתורים וחקירות,,,,,
81,6131|613|61|6,1.613181.752,השתתפות בעלות שכר שופטים,,,,,
82,6131|613|61|6,1.613182.753,השתתפות באחזקת בנין בית המשפט,,,,,
83,6131|613|61|6,1.613183.754,השתתפות בעלות שכר קלדניות,,,,,
86,6131|613|61|6,1.613186.781,אכיפת גבית חובות מפס ד ע י ג ח,,,,,
83,6131|613|61|6,1.613183.932,ציוד וריהוט משרדי,,,,,
14,6133|613|61|6,1.613314.110,משכורת כוללת,,,,,
11,6133|613|61|6,1.613311.124,החזר הוצאות,,,,,
13,6133|613|61|6,1.613313.126,הבראה,,,,,
14,6133|613|61|6,1.613314.127,השתתפות באחזקת רכב02,,,,,
18,6133|613|61|6,1.613318.130,תשלומים מיוחדים,,,,,
11,6133|613|61|6,1.613311.181,מיסים וביטוח לאומי,,,,,
12,6133|613|61|6,1.613312.182,קופות גמל והשתלמות,,,,,
11,6133|613|61|6,1.613311.310,שעות נוספות רשומות,,,,,
12,6133|613|61|6,1.613312.433,ביטוח,,,,,
18,6133|613|61|6,1.613318.439,אחזקת בניני העיריה0השתתפות,,,,,
16,6133|613|61|6,1.613316.461,צרכי משרד,,,,,
18,6133|613|61|6,1.613318.463,טלפונים,,,,,
17,6133|613|61|6,1.613317.510,נסיעות  ואש ל,,,,,
11,6133|613|61|6,1.613311.521,הדרכה וכנסים,,,,,
12,6133|613|61|6,1.613312.522,גיבוש יחידתי,,,,,
15,6133|613|61|6,1.613315.541,אחזקת מכשירי קשר,,,,,
11,6133|613|61|6,1.613311.610,כיבודים,,,,,
14,6133|613|61|6,1.613314.670,סעיף שאינו חוזר,,,,,
17,6133|613|61|6,1.613317.681,רכישת חומר ארכיוני וספרות עזר,,,,,590
19,6133|613|61|6,1.613319.691,מערכות מידע ומחשוב,,,,,199920
11,6133|613|61|6,1.613311.781,תחזוקת המגנזה,,,,,5422
12,6133|613|61|6,1.613312.782,תחזוקת הארכיון,,,,,26497
13,6133|613|61|6,1.613313.783,שימור מסמכים,,,,,0
15,6133|613|61|6,1.613315.785,דמי חבר,,,,,828
16,6133|613|61|6,1.613316.786,גניזה ע י גורמי חוץ,,,,,293058
17,6133|613|61|6,1.613317.932,ציוד וריהוט משרדי,,,,,0
19,6133|613|61|6,1.613319.934,ציוד תפעולי,,,,,13778
11,6134|613|61|6,1.613411.110,משכורת כוללת )עובדים להעברה01(,,,,,835013
17,6134|613|61|6,1.613417.124,החזר הוצאות,,,,,20038
19,6134|613|61|6,1.613419.126,הבראה,,,,,21330
11,6134|613|61|6,1.613411.127,השתתפות באחזקת רכב0 4,,,,,62164
15,6134|613|61|6,1.613415.130,תשלומים מיוחדים,,,,,27334
17,6134|613|61|6,1.613417.181,מיסים וביטוח לאומי,,,,,117775
18,6134|613|61|6,1.613418.182,קופות גמל והשתלמות,,,,,74353
17,6134|613|61|6,1.613417.310,שעות נוספות רשומות,,,,,25245
12,6134|613|61|6,1.613412.411,שכר דירה ותשלומי ועד בית,,,,,650201
16,6134|613|61|6,1.613416.431,מים,,,,,1075
18,6134|613|61|6,1.613418.433,ביטוח,,,,,57230
19,6134|613|61|6,1.613419.434,תקוני מבנים מתקנים ואינונטר,,,,,23673
11,6134|613|61|6,1.613411.435,חשמל ואנרגיה,,,,,253446
12,6134|613|61|6,1.613412.436,נקיון,,,,,22781
13,6134|613|61|6,1.613413.461,צרכי משרד,,,,,16040
14,6134|613|61|6,1.613414.462,ספרים ועתונים,,,,,1620
15,6134|613|61|6,1.613415.463,טלפונים,,,,,14966
16,6134|613|61|6,1.613416.464,דאר,,,,,2872
14,6134|613|61|6,1.613414.510,נסיעות,,,,,45
17,6134|613|61|6,1.613417.521,הדרכה וכנסים,,,,,1151
19,6134|613|61|6,1.613419.531,אחזקת רכב,,,,,7571
11,6134|613|61|6,1.613411.532,ביטוח רכב,,,,,4900
13,6134|613|61|6,1.613413.534,דלק ושמן,,,,,16950
12,6134|613|61|6,1.613412.541,אחזקת מכשירי קשר,,,,,35724
17,6134|613|61|6,1.613417.610,כיבודים,,,,,19977
11,6134|613|61|6,1.613411.670,סעיף שאינו חוזר,,,,,38066
16,6134|613|61|6,1.613416.691,מערכות מידע ומחשוב,,,,,219912
18,6134|613|61|6,1.613418.693,מחשוב יחידתי,,,,,9486
